L-wrist,R-wrist,L-elbow,R-elbow,L-shoulder,R-shoulder,L-knee,R-knee,L-ankle,R-ankle,L-hip,R-hip,Pose_Label
122.7883164,233.2805727,198.4546191,193.0131608,155.8825429,160.6268161,194.1441248,187.1997335,238.7890414,232.36343,152.5820784,23.35612925,adho mukha svanasana
148.2443785,159.1217121,168.4812423,167.9956603,188.0597351,182.9438513,174.6453493,178.5885653,131.5327067,124.5747153,282.1629033,100.5597235,adho mukha svanasana
219.344594,204.1951812,188.1881954,182.5479521,182.8139386,185.5646198,181.0648171,178.9047481,247.7673594,224.9694512,55.59419323,237.6722727,adho mukha svanasana
161.3466317,152.137315,173.8573489,179.6489892,188.8118997,185.3984132,177.08027,175.1497659,111.8493539,109.0005438,19.84528627,161.3070185,adho mukha svanasana
153.7128243,153.1614603,175.4099245,177.2391373,189.1998142,186.8128567,175.2394059,173.315498,111.8790928,109.3287831,10.80707179,170.1420669,adho mukha svanasana
145.1365085,137.4406843,176.1517868,174.6061625,182.9310634,181.7703564,185.7378648,187.6288209,112.7593805,126.1672827,63.60154245,114.6048996,adho mukha svanasana
107.7528861,217.1116509,188.6282935,188.5708163,173.1027801,174.0107094,181.9177779,181.7725749,246.5877563,243.9701365,210.9333207,30.44593801,adho mukha svanasana
126.0141125,181.3212997,191.880598,203.1786251,177.7479134,179.1609956,183.2089652,177.3794534,238.1193898,232.4536263,169.7061408,9.161438975,adho mukha svanasana
228.0680101,229.5380874,187.5053287,186.580734,174.4352047,181.3965849,155.3324949,156.7733533,242.5649261,221.8561703,69.16586452,109.8530471,adho mukha svanasana
137.2877437,211.784612,194.9570468,189.4356322,183.142394,188.6167762,187.2362327,191.6787749,237.0322268,160.6448697,175.9764748,138.0996473,adho mukha svanasana
142.9027154,161.2997626,172.8310972,165.998152,181.6998592,182.2251525,177.5222703,177.9049836,119.465502,115.8091731,0.551328005,179.3819725,adho mukha svanasana
152.1794584,153.9907954,165.0091647,163.0690435,182.3143648,181.2163711,197.8581737,198.7249129,120.949826,119.551462,261.3952508,81.69738838,adho mukha svanasana
